,deal,image,location,price,shop,title
0,0,0,0,0,0,0
0,6,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i2/131240136633832807/TB2FDeCgVXXXXcxXpXXXXXXXXXX_!!111843124-0-saturn_solar.jpg_180x180.jpg_.webp,广东 汕尾,13.90,家乡味生态农业,"即食自晒
潮汕
煮熟小鱼仔特产海鱼干野生海鲜丁香鱼小鱼干干货零食"
0,0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i4/25681294/TB24DOXBCtYBeNjSspkXXbU8VXa_!!0-saturn_solar.jpg_180x180.jpg_.webp,广东 中山,45.00,sheng1898,"潮汕
特产牛筋丸 正宗手打手工汕头潮州牛肉丸火锅丸子"
0,1,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/132205381/TB2jkLLdScqBKNjSZFgXXX_kXXa_!!2-saturn_solar.png_180x180.jpg_.webp,广东 云浮,38.00,emilymoona,"潮汕
特产火锅潮州正宗手打手工墨鱼丸/墨斗丸/花枝丸"
0,1041,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2940862334/TB29gtlomtYBeNjSspkXXbU8VXa_!!2940862334.jpg_180x180.jpg_.webp,广西 贵港,27.50,薛阿姨家,"薛阿姨油炸腐竹豆皮手工腐皮干货火锅螺蛳粉专用
潮汕
麻辣烫响铃卷"
0,29,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1ohwCHVXXXXbtXpXXXXXXXXXX_!!0-item_pic.jpg_180x180.jpg_.webp,广东 东莞,24.50,346993041林哥,"10袋X250克装 广东
潮汕
酸菜 澄海酸菜 包装酸菜 咸菜泡菜老坛酸菜"
0,29,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/408356820/TB2x6M7kYFkpuFjy1XcXXclapXa_!!408356820.jpg_180x180.jpg_.webp,广东 揭阳,35.00,chenshuoshan,"伯泰香酥猪肉条猪肉松
潮汕
特色小吃小朋友餐配的好选择一份2瓶"
0,93,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2258514715/TB2xgzYhdrJ8KJjSspaXXXuKpXa_!!2258514715.jpg_180x180.jpg_.webp,广东 揭阳,37.80,心随日月行,"包邮*四瓶
潮汕
潮州客家特产 汤南小菜乌榄 油榄 黑橄榄 杂咸小菜"
0,86,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/1822383717/TB2Z1SLFL9TBuNjy0FcXXbeiFXa_!!1822383717.jpg_180x180.jpg_.webp,广东 汕头,156.00,shawnhuang32,"阿部
潮汕
特产 薄壳米 配粥 炒葱 韭菜 4包"
0,580,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3307008713/TB2F0vjawwjyKJjSspeXXXXZXXa_!!3307008713.jpg_180x180.jpg_.webp,广东 汕头,22.00,yx林林88888,"22元4瓶包邮新货
潮汕
特产旭泰冬菜地都冬菜 450g 冬菜 砂锅粥调味"
0,219,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/702999848/TB2jPpJsXXXXXb9XXXXXXXXXXXX_!!702999848.jpg_180x180.jpg_.webp,广东 汕头,36.00,elaine陈银玲,"潮汕
特产 老山合猪肉脯干 广东老山合猪肉脯特产特色食品 250g"
0,345,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/702999848/TB2gT4Vwr4npuFjSZFmXXXl4FXa_!!702999848.jpg_180x180.jpg_.webp,广东 汕头,45.69,elaine陈银玲,"【潮味老店】中华老字号美食
潮汕
特产小吃老山合猪头粽猪肉棕包邮"
0,318,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/342192752/TB2ClEBnC0mpuFjSZPiXXbssVXa_!!342192752.jpg_180x180.jpg_.webp,广东 汕头,9.90,斑马虫,"菜脯 粒 丁 碎
潮汕
特产 咸菜 下饭菜 咸香菜脯粒 家用装 萝卜干"
0,53,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/2929206173/TB2k7L3lUQIL1JjSZFhXXaDZFXa_!!2929206173.jpg_180x180.jpg_.webp,广东 广州,57.50,小馋嘴百货城,"潮汕
特产廷顺咸菜480g*6瓶传统腌制地都泡菜香脆可口酸菜广东包邮"
0,46,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/894233267/TB28aaPmrZnBKNjSZFGXXbt3FXa_!!894233267.jpg_180x180.jpg_.webp,广东 汕头,30.99,tb63203_56,"潮汕
澄海特产三正顺猪肉脯猪肉干猪头粽即食零食半斤250g满2包邮"
