,image,price,deal,title,shop,location
0,0,0,0,0,0,0
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/28591229/TB2LIBMcMaTBuNjSszfXXXgfpXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
89.00",44,"食乐康羊杂碎 内蒙古特色羊杂200g*10袋 羊肚羊肝羊肉汤
美食
小吃",食乐康旗舰店,内蒙古 呼和浩特
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/165110098/TB2OxkBnfImBKNjSZFlXXc43FXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
18.80",3,淘乐重庆特产麻辣500g包邮美味休闲小吃豆干散装零食多口味豆腐干,淘乐食品铺,重庆
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i4/97149063/TB2Nlalnm8YBeNkSnb4XXaevFXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
6.99",65,"八亩沟老何家、纯手工面筋、陕西西府特产岐山小吃正宗
美食
凉皮",快刀浪子剑251499071,陕西 宝鸡
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2966404939/TB2nJtxx2uSBuNkHFqDXXXfhVXa_!!2966404939-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
59.90",414,"南京特产金陵
美食
夫子庙小吃零食传统
美食
6盒大礼包送礼品袋",酥房斋旗舰店,江苏 南京
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/1993999192/TB1z_pSmWAoBKNjSZSyXXaHAVXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
17.90",3565,"稻香村驴打滚500g老北京特产小吃零食糕点心
美食
品零食麻薯麻糬",欣丰源食品专营店,北京
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/619123122/TB1rtAvmGQoBKNjSZJnXXaw9VXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
18.90",127040,"【良品铺子猪肉脯200g】肉类零食小吃熟食特产猪肉干休闲食品
美食",良品铺子旗舰店,湖北 武汉
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2151510259/O1CN011Dmf1x65HHxAAFE_!!2151510259.jpg_360x360Q90.jpg_.webp,"¥
9.90",17796,"爱尚咪咪虾条零食小吃
美食
好吃的休闲小零食品散装一箱成人款网红",源氏食品专营店,江苏 苏州
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/667693684/TB2HQXQXp95V1Bjy0FhXXb5wXXa_!!667693684.jpg_360x360Q90.jpg_.webp,"¥
48.00",13,"台湾
美食
超比冰心绿豆皇 低温冷冻保存",梦蝶waz,福建 厦门
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/828000389/TB2Kildk9_I8KJjy0FoXXaFnVXa_!!828000389.jpg_360x360Q90.jpg_.webp,"¥
38.00",544,"正宗鲍师傅肉松小贝 海苔酥松小贝 肉松蛋糕鲍师傅糕点 南京
美食",沧澜流转,江苏 南京
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/1719214398/TB2Wuc_nBjTBKNjSZFuXXb0HFXa_!!1719214398-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
32.80",1396,"沈大成上海特产龙须酥礼盒传统糕点零食龙须酥糖食品450G网红
美食",沈大成旗舰店,上海
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2734961132/TB1Ly2rJbSYBuNjSspfXXcZCpXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
29.90",267,"甘肃特色小吃老油饼5个装 香酥煎饼农家特产风味
美食
早餐包邮",西北绿源,甘肃 平凉
