Column1	deal	image	location	price	shop	title
0	0	0	0	0	0	0
0	11	//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i2/32241190/TB2QjeaybuWBuNjSszgXXb8jVXa_!!0-saturn_solar.jpg_180x180.jpg_.webp	广东 深圳	305	创宇商行	"影驰正品GTX750TI-2G台式机游戏
显卡
畅玩绝地求生-逆水寒-包邮"
0	5	//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i3/23641448/TB2r25ce5MnBKNjSZFzXXc_qVXa_!!0-saturn_solar.jpg_180x180.jpg_.webp	北京	1229	北京云泰	"全新耕升GTX1060旋风3G 电脑游戏独立
显卡
秒GTX960 970 1050ti"
0	4	//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/23641448/TB2rzrlkQZmBKNjSZPiXXXFNVXa_!!0-saturn_solar.jpg_180x180.jpg_.webp	北京	709	北京云泰	"七彩虹微星 华硕960 4G双风扇吃鸡
显卡
绝地求生大逃杀比GTX1050ti"
0	45	//g-search2.alicdn.com/img/bao/uploaded/i4/i3/338591618/TB2vODkbEgQMeJjy0FjXXaExFXa_!!338591618.jpg_180x180.jpg_.webp	江苏 南京	1698	此男时尚	"华硕 DUAL-RX580-O8G 雪豹版 256bit/1360/8000MHz D5 游戏
显卡"
0	231	//g-search3.alicdn.com/img/bao/uploaded/i4/i1/718371099/TB2Hwd0tb5YBuNjSspoXXbeNFXa_!!718371099.jpg_180x180.jpg_.webp	山东 青岛	985	wodezuiai28	"顺丰 正品 多款GTX970 4G 吃鸡 逆水寒等高端游戏
显卡
内有多款"
0	483	//g-search1.alicdn.com/img/bao/uploaded/i4/i4/1930098175/TB2dz.BiMZC2uNjSZFnXXaxZpXa_!!1930098175.jpg_180x180.jpg_.webp	四川 成都	668	ko花小姐	"华硕GTX960 4G吃鸡
显卡
技嘉影驰980 6G有1060 1070 8G 1050ti 970"
0	160	//g-search1.alicdn.com/img/bao/uploaded/i4/i4/2681126335/TB1C1weFqmWBuNjy1XaXXXCbXXa_!!0-item_pic.jpg_180x180.jpg_.webp	广东 广州	2199	影驰丽泰专卖店	"影驰GTX1060
显卡
6G名人堂V2高端独显台式机电脑电竞游戏吃鸡
显卡"
0	1097	//g-search3.alicdn.com/img/bao/uploaded/i4/i1/47675281/TB2N8MAgFmWBuNjSspdXXbugXXa_!!47675281.jpg_180x180.jpg_.webp	广东 深圳	288	haoguang2008	"索泰GTX750ti 2G独立游戏
显卡
玩转守望逆水寒吃鸡台式机电脑
显卡"
0	229	//g.alicdn.com/s.gif	湖北 武汉	1049	铭瑄电脑硬件旗舰店	"MAXSUN/铭瑄GTX1050Ti 4G风系列 终结者 电脑游戏吃鸡独立
显卡"
0	138	//g.alicdn.com/s.gif	广东 广州	2899	慧川数码专营店	"七彩虹GTX1070 iGame 烈焰战神U 8GD5 Top 游戏台式电脑独立
显卡"
0	98	//g.alicdn.com/s.gif	广东 广州	3299	慧川数码专营店	"七彩虹 iGame GTX1070Ti
显卡
8G 伏尔甘 Vulcan U/X top超频版"
0	505	//g.alicdn.com/s.gif	湖北 武汉	1099	瑞达中腾数码专营店	"七彩虹战斧GTX1050Ti 4G电脑吃鸡游戏独立烈焰战神U
显卡
三年保"
0	139	//g.alicdn.com/s.gif	浙江 宁波	1000	xikouzhongding	"中鼎科技GTX1080 GTX970M GTX980M GTX1060 GTX1070笔记本
显卡
MXM"
0	135	//g.alicdn.com/s.gif	浙江 宁波	2649	asus华硕旗舰店	"华硕猛禽GTX1060-O6G全新6g独显台式机电脑游戏吃鸡独立
显卡"
